frame_size,page_fault,hit_rate,miss_rate
196,347.000000,0.653000,0.347000
197,346.000000,0.654000,0.346000
198,343.000000,0.657000,0.343000
199,343.000000,0.657000,0.343000
200,343.000000,0.657000,0.343000
201,343.000000,0.657000,0.343000
202,342.000000,0.658000,0.342000
203,339.000000,0.661000,0.339000
204,339.000000,0.661000,0.339000
205,329.000000,0.671000,0.329000
206,323.000000,0.677000,0.323000
207,321.000000,0.679000,0.321000
208,319.000000,0.681000,0.319000
209,317.000000,0.683000,0.317000
210,313.000000,0.687000,0.313000
211,312.000000,0.688000,0.312000
212,311.000000,0.689000,0.311000
213,311.000000,0.689000,0.311000
214,307.000000,0.693000,0.307000
215,306.000000,0.694000,0.306000
216,305.000000,0.695000,0.305000
217,305.000000,0.695000,0.305000
218,305.000000,0.695000,0.305000
219,305.000000,0.695000,0.305000
220,305.000000,0.695000,0.305000
221,305.000000,0.695000,0.305000
222,299.000000,0.701000,0.299000
223,297.000000,0.703000,0.297000
224,293.000000,0.707000,0.293000
225,289.000000,0.711000,0.289000
226,286.000000,0.714000,0.286000
227,285.000000,0.715000,0.285000
228,285.000000,0.715000,0.285000
229,284.000000,0.716000,0.284000
230,283.000000,0.717000,0.283000
231,279.000000,0.721000,0.279000
232,279.000000,0.721000,0.279000
233,275.000000,0.725000,0.275000
234,270.000000,0.730000,0.270000
235,269.000000,0.731000,0.269000
236,265.000000,0.735000,0.265000
237,260.000000,0.740000,0.260000
238,258.000000,0.742000,0.258000
239,257.000000,0.743000,0.257000
240,257.000000,0.743000,0.257000
241,255.000000,0.745000,0.255000
242,255.000000,0.745000,0.255000
243,255.000000,0.745000,0.255000
244,255.000000,0.745000,0.255000
245,254.000000,0.746000,0.254000
246,254.000000,0.746000,0.254000
247,253.000000,0.747000,0.253000
248,252.000000,0.748000,0.252000
249,251.000000,0.749000,0.251000
250,251.000000,0.749000,0.251000
251,251.000000,0.749000,0.251000
252,251.000000,0.749000,0.251000
253,251.000000,0.749000,0.251000
254,251.000000,0.749000,0.251000
255,251.000000,0.749000,0.251000
256,251.000000,0.749000,0.251000
257,251.000000,0.749000,0.251000
258,251.000000,0.749000,0.251000
259,251.000000,0.749000,0.251000
260,251.000000,0.749000,0.251000
261,251.000000,0.749000,0.251000
262,251.000000,0.749000,0.251000
263,251.000000,0.749000,0.251000
264,251.000000,0.749000,0.251000
265,251.000000,0.749000,0.251000
266,251.000000,0.749000,0.251000
267,251.000000,0.749000,0.251000
268,251.000000,0.749000,0.251000
269,251.000000,0.749000,0.251000
270,251.000000,0.749000,0.251000
271,251.000000,0.749000,0.251000
272,251.000000,0.749000,0.251000
273,251.000000,0.749000,0.251000
274,251.000000,0.749000,0.251000
275,251.000000,0.749000,0.251000
276,251.000000,0.749000,0.251000
277,251.000000,0.749000,0.251000
278,251.000000,0.749000,0.251000
279,251.000000,0.749000,0.251000
280,251.000000,0.749000,0.251000
281,251.000000,0.749000,0.251000
282,251.000000,0.749000,0.251000
283,251.000000,0.749000,0.251000
284,251.000000,0.749000,0.251000
285,251.000000,0.749000,0.251000
286,251.000000,0.749000,0.251000
287,251.000000,0.749000,0.251000
288,251.000000,0.749000,0.251000
289,251.000000,0.749000,0.251000
290,251.000000,0.749000,0.251000
291,251.000000,0.749000,0.251000
292,251.000000,0.749000,0.251000
293,251.000000,0.749000,0.251000
294,251.000000,0.749000,0.251000
295,251.000000,0.749000,0.251000
296,251.000000,0.749000,0.251000
297,251.000000,0.749000,0.251000
298,251.000000,0.749000,0.251000
299,251.000000,0.749000,0.251000
300,251.000000,0.749000,0.251000
301,251.000000,0.749000,0.251000
302,251.000000,0.749000,0.251000
303,251.000000,0.749000,0.251000
304,251.000000,0.749000,0.251000
305,251.000000,0.749000,0.251000
306,251.000000,0.749000,0.251000
307,251.000000,0.749000,0.251000
308,251.000000,0.749000,0.251000
309,251.000000,0.749000,0.251000
310,251.000000,0.749000,0.251000
311,251.000000,0.749000,0.251000
312,251.000000,0.749000,0.251000
313,251.000000,0.749000,0.251000
314,251.000000,0.749000,0.251000
315,251.000000,0.749000,0.251000
316,251.000000,0.749000,0.251000
317,251.000000,0.749000,0.251000
318,251.000000,0.749000,0.251000
319,251.000000,0.749000,0.251000
320,251.000000,0.749000,0.251000
321,251.000000,0.749000,0.251000
322,251.000000,0.749000,0.251000
323,251.000000,0.749000,0.251000
324,251.000000,0.749000,0.251000
325,251.000000,0.749000,0.251000
326,251.000000,0.749000,0.251000
327,251.000000,0.749000,0.251000
328,251.000000,0.749000,0.251000
329,251.000000,0.749000,0.251000
330,251.000000,0.749000,0.251000
331,251.000000,0.749000,0.251000
332,251.000000,0.749000,0.251000
333,251.000000,0.749000,0.251000
334,251.000000,0.749000,0.251000
335,251.000000,0.749000,0.251000
336,251.000000,0.749000,0.251000
337,251.000000,0.749000,0.251000
338,251.000000,0.749000,0.251000
339,251.000000,0.749000,0.251000
340,251.000000,0.749000,0.251000
341,251.000000,0.749000,0.251000
342,251.000000,0.749000,0.251000
343,251.000000,0.749000,0.251000
344,251.000000,0.749000,0.251000
345,251.000000,0.749000,0.251000
346,251.000000,0.749000,0.251000
347,251.000000,0.749000,0.251000
348,251.000000,0.749000,0.251000
349,251.000000,0.749000,0.251000
350,251.000000,0.749000,0.251000
351,251.000000,0.749000,0.251000
352,251.000000,0.749000,0.251000
353,251.000000,0.749000,0.251000
354,251.000000,0.749000,0.251000
355,251.000000,0.749000,0.251000
356,251.000000,0.749000,0.251000
357,251.000000,0.749000,0.251000
358,251.000000,0.749000,0.251000
359,251.000000,0.749000,0.251000
360,251.000000,0.749000,0.251000
361,251.000000,0.749000,0.251000
362,251.000000,0.749000,0.251000
363,251.000000,0.749000,0.251000
364,251.000000,0.749000,0.251000
365,251.000000,0.749000,0.251000
366,251.000000,0.749000,0.251000
367,251.000000,0.749000,0.251000
368,251.000000,0.749000,0.251000
369,251.000000,0.749000,0.251000
370,251.000000,0.749000,0.251000
371,251.000000,0.749000,0.251000
372,251.000000,0.749000,0.251000
373,251.000000,0.749000,0.251000
374,251.000000,0.749000,0.251000
375,251.000000,0.749000,0.251000
376,251.000000,0.749000,0.251000
377,251.000000,0.749000,0.251000
378,251.000000,0.749000,0.251000
379,251.000000,0.749000,0.251000
380,251.000000,0.749000,0.251000
381,251.000000,0.749000,0.251000
